non_ipa,ipa,chart,height/manner,place/color,misc1,misc2
sç,zɥ,consonant,fricative,alveolar,voiced,labiopalatalized
lç,lɥ,consonant,lateral-approximant,lateral,voiced,labiopalatalized
øç,ɲɥ,consonant,nasal,palatal,voiced,labiopalatalized
vl,vˡ,consonant,fricative,labiodental,voiced,lateral
ml,mˡ,consonant,nasal,bilabial,voiced,lateral
nnl,mnl,consonant,nasal,bilabial-to-alveolar,voiced,lateral
bl,bˡ,consonant,stop,bilabial,voiced,lateral
V+,ʋ*,consonant,approximant,labiodental,voiced,lax
w+,w*,consonant,approximant,labiovelar,voiced,lax
næ,n̂,consonant,nasal,alveolar,voiced,lax
b+,b*,consonant,stop,bilabial,voiced,lax
jæ,ĵ,consonant,approximant,palatal,voiced,lenis
mæ,m̂,consonant,nasal,bilabial,voiced,lenis
dæ,d̂,consonant,stop,alveolar,voiced,lenis
bæ,b̂,consonant,stop,bilabial,voiced,lenis
gæƒbæ,ɡ̂͡b̂,consonant,stop,labiovelar,voiced,lenis
gæ,ɡ̂,consonant,stop,velar,voiced,lenis
V),ʋ̃,consonant,approximant,labiodental,voiced,nasalized
w),w̃,consonant,approximant,labiovelar,voiced,nasalized
j),j̃,consonant,approximant,palatal,voiced,nasalized
„n,ǁn,consonant,click,lateral,voiced,nasalized
n&,ɾ̃,consonant,flap,alveolar,voiced,nasalized
ú),ɦ̃,consonant,fricative,glottal,voiced,nasalized
l),l̃,consonant,lateral-approximant,lateral,voiced,nasalized
r),r̃,consonant,trill,alveolar,voiced,nasalized
AUTO(w̃),w̃ʰ,consonant,approximant,labiovelar,voiced,nasalized_aspirated
AUTO(j̃),j̃ʰ,consonant,approximant,palatal,voiced,nasalized_aspirated
v)j,ṽʲ,consonant,fricative,labiodental,voiced,nasalized_palatalized
v)J,ṽʲ,consonant,fricative,labiodental,voiced,nasalized_palatalized
dzj,dzʲ,consonant,affricate,alveolar,voiced,palatalized
d5z5j,d̪z̪ʲ,consonant,affricate,dental,voiced,palatalized
AUTO(d̪ð),d̪ðʲ,consonant,affricate,interdental,voiced,palatalized
dZj,dʒʲ,consonant,affricate,postalveolar,voiced,palatalized
AUTO(ɖʐ),ɖʐʲ,consonant,affricate,retroflex,voiced,palatalized
Vj,ʋʲ,consonant,approximant,labiodental,voiced,palatalized
wj,wʲ,consonant,approximant,labiovelar,voiced,palatalized
AUTO(j),jʲ,consonant,approximant,palatal,voiced,palatalized
Rj,ɾʲ,consonant,flap,alveolar,voiced,palatalized
AUTO(ɽ),ɽʲ,consonant,flap,retroflex,voiced,palatalized
zj,zʲ,consonant,fricative,alveolar,voiced,palatalized
AUTO(β),βʲ,consonant,fricative,bilabial,voiced,palatalized
z5j,z̪ʲ,consonant,fricative,dental,voiced,palatalized
úw,ɦʲ,consonant,fricative,glottal,voiced,palatalized
Dj,ðʲ,consonant,fricative,interdental,voiced,palatalized
vj,vʲ,consonant,fricative,labiodental,voiced,palatalized
vJ,vʲ,consonant,fricative,labiodental,voiced,palatalized
Zj,ʒʲ,consonant,fricative,postalveolar,voiced,palatalized
Òj,ʁʲ,consonant,fricative,uvular,voiced,palatalized
Äj,ɣʲ,consonant,fricative,velar,voiced,palatalized
AUTO(ɗ),ɗʲ,consonant,implosive,alveolar,voiced,palatalized
©j,ɠʲ,consonant,implosive,velar,voiced,palatalized
l+j,l̟ʲ,consonant,lateral-approximant,advanced-lateral,voiced,palatalized
