Grapheme	Name	Alias	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
b̤ʲ	latin small letter b - combining diaeresis below - modifier letter small j		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	+	-	-	-	-	-	-	+	-	0	-	-	-	+	-	0	-	-	0	0	-
b̤ː	latin small letter b - combining diaeresis below - modifier letter triangular colon		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	+	0	-	-	+	-	0	-	-	-	+	-	0	-	-	0	0	-
b̤̥	latin small letter b - combining diaeresis below - combining ring below		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	+	-	0	-	-	0	0	-
b̥	latin small letter b - combining ring below		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
b̥ʰ	latin small letter b - combining ring below - modifier letter small h		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	+	-	0	-	-	0	0	-
b̥ː	latin small letter b - combining ring below - modifier letter triangular colon		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	+	0	-	-	-	-	0	-	-	-	-	-	0	-	-	0	0	-
b̩	latin small letter b - combining vertical line below		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	0	+	-	0	0	-
b̪	latin small letter b - combining bridge below		0	+	-	0	-	+	-	-	+	-	+	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
b̰	latin small letter b - combining tilde below		0	0	-	0	-	+	+	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
b̻	latin small letter b - combining square below		0	0	-	0	-	+	-	-	+	-	+	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
b͈	latin small letter b - combining double vertical line below		0	0	-	0	-	+	-	-	-	-	0	-	-	+	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
b͈ː	latin small letter b - combining double vertical line below - modifier letter triangular colon		0	0	-	0	-	+	-	-	-	-	0	-	-	+	0	0	+	-	-	+	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
b͉	latin small letter b - combining left angle below		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
bβ	latin small letter b - greek small letter beta		0	0	-	0	-	+	-	-	-	+	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
bⁿ	latin small letter b - superscript latin small letter n		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	+	+	-	0	-	-	-	-	-	0	-	-	0	0	-
c	latin small letter c		0	-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
cç	latin small letter c - latin small letter c with cedilla		0	-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
cçʰ	latin small letter c - latin small letter c with cedilla - modifier letter small h		0	-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	+	-	-	-	-	0	0	-
cçʷ	latin small letter c - latin small letter c with cedilla - modifier letter small w		0	-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	+	-	-	-	-	-	-	-	-	0	+	-	-	-	-	-	-	-	0	0	-
cçʷʰ	latin small letter c - latin small letter c with cedilla - modifier letter small w - modifier letter small h		0	-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	+	-	-	-	-	-	-	-	-	0	+	-	-	+	-	-	-	-	0	0	-
cçʼ	latin small letter c - latin small letter c with cedilla - modifier letter apostrophe		0	-	-	-	-	+	+	-	+	+	+	+	-	-	+	+	-	0	-	-	-	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
cçː	latin small letter c - latin small letter c with cedilla - modifier letter triangular colon		0	-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-	0	-	+	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
cʰ	latin small letter c - modifier letter small h		0	-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	+	-	-	-	-	0	0	-
cʰː	latin small letter c - modifier letter small h - modifier letter triangular colon		0	-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	+	-	-	-	-	-	0	0	-	-	+	-	-	-	-	0	0	-
cʲ	latin small letter c - modifier letter small j		0	-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
cʷ	latin small letter c - modifier letter small w		0	-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	-	-	0	+	-	-	-	-	-	-	-	0	0	-
cʷʰ	latin small letter c - modifier letter small w - modifier letter small h		0	-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	+	-	-	-	-	-	-	-	-	0	+	-	-	+	-	-	-	-	0	0	-
cʼ	latin small letter c - modifier letter apostrophe		0	-	-	-	-	+	+	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
cʼː	latin small letter c - modifier letter apostrophe - modifier letter triangular colon		0	-	-	-	-	+	+	-	+	-	+	+	-	-	+	+	-	0	-	+	-	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
cˀ	latin small letter c - modifier letter glottal stop		0	-	-	-	-	+	+	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
cː	latin small letter c - modifier letter triangular colon		0	-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	+	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
c̟	latin small letter c - combining plus sign below		0	+	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
c̠	latin small letter c - combining minus sign below		0	-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
c̤	latin small letter c - combining diaeresis below		0	-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	+	-	0	0	-	-	+	-	-	-	-	0	0	-
c̰	latin small letter c - combining tilde below		0	-	-	-	-	+	+	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	+	-	0	0	-	-	-	-	-	-	-	0	0	-
c̻	latin small letter c - combining square below		0	-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
c̻̟	latin small letter c - combining square below - combining plus sign below		0	+	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-	0	-	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
d	latin small letter d		0	+	-	0	-	+	-	-	+	-	-	-	-	-	0	0	-	0	-	-	0	-	-	+	-	0	0	-	-	-	-	-	-	-	0	0	-
dz	latin small letter d - latin small letter z		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	+	-	0	0	-	-	-	-	+	-	-	0	0	-
dzʰ	latin small letter d - latin small letter z - modifier letter small h		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	-	-	0	0	-	-	+	-	+	-	-	0	0	-
dzʱ	latin small letter d - latin small letter z - modifier letter small h with hook		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	+	-	0	0	-	-	+	-	+	-	-	0	0	-
dzʲ	latin small letter d - latin small letter z - modifier letter small j		0	+	-	-	-	+	-	-	+	+	-	+	-	-	+	+	-	0	-	-	-	-	-	+	-	0	0	-	-	-	-	+	-	-	0	0	-
dzʷ	latin small letter d - latin small letter z - modifier letter small w		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	+	-	-	-	-	+	-	-	0	0	-
dzʼ	latin small letter d - latin small letter z - modifier letter apostrophe		0	+	-	0	-	+	+	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	-	+	0	0	-	-	-	-	+	-	-	0	0	-
dzː	latin small letter d - latin small letter z - modifier letter triangular colon		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	+	0	-	-	+	-	0	0	-	-	-	-	+	-	-	0	0	-
dzˠ	latin small letter d - latin small letter z - modifier letter small gamma		0	+	-	-	-	+	-	-	+	+	-	+	-	-	-	+	-	0	-	-	-	-	-	+	-	0	0	-	-	-	-	+	-	-	0	0	-
dz̤	latin small letter d - latin small letter z - combining diaeresis below		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	+	-	0	0	-	-	+	-	+	-	-	0	0	-
dz̪	latin small letter d - latin small letter z - combining bridge below		0	+	-	0	-	+	-	-	+	+	+	-	-	-	0	0	-	0	-	-	0	-	-	+	-	0	0	-	-	-	-	+	-	-	0	0	-
dz̺	latin small letter d - latin small letter z - combining inverted bridge below		0	+	-	0	-	+	-	-	+	+	-	-	-	-	0	0	-	0	-	-	0	-	-	+	-	0	0	-	-	-	-	+	-	-	0	0	-
